,ppid,heading,cameraoffset,occlusion,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible
2,t,-2.0,-2.0,0,0,6.708602790603327,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.039144454050190625,viz.VizPrimitive(6)
3,t,-2.0,-2.0,0,0,6.748993912157332,0,0.0,-0.0,0.0,-0.08900000154972076,-3.1150000542402267,0.0,0.0,0.040382971427467496,viz.VizPrimitive(6)
4,t,-2.0,-2.0,0,0,6.762955380773912,0,0.0,-0.0,0.0,-0.08500000089406967,-2.9750000312924385,0.0,0.0,0.013960864903502568,viz.VizPrimitive(6)
5,t,-2.0,-2.0,0,0,6.864751064949868,0,0.0,-0.0,0.0,-0.06800000369548798,-2.380000129342079,0.0,0.0,0.10174587784711075,viz.VizPrimitive(6)
6,t,-2.0,-2.0,0,0,6.866499116164055,0,0.0,-0.0,0.0,-0.06700000166893005,-2.345000058412552,0.0,0.0,0.00181778007457023,viz.VizPrimitive(6)
7,t,-2.0,-2.0,0,0,6.8683383280528565,0,0.0,-0.0,0.0,-0.06700000166893005,-2.345000058412552,0.0,0.0,0.001840419314954822,viz.VizPrimitive(6)
8,t,-2.0,-2.0,0,0,6.8803648962579445,0,0.0,-0.0,0.0,-0.06499999761581421,-2.2749999165534973,0.0,0.0,0.012026266348549974,viz.VizPrimitive(6)
9,t,-2.0,-2.0,0,0,6.898167791182892,0,0.0,-0.0,0.0,-0.061000000685453415,-2.1350000239908695,0.0,0.0,0.017804706064176834,viz.VizPrimitive(6)
10,t,-2.0,-2.0,0,0,6.91460146484941,0,0.0,-0.0,0.0,-0.057999998331069946,-2.029999941587448,0.0,0.0,0.01642793839228851,viz.VizPrimitive(6)
11,t,-2.0,-2.0,0,0,6.931984175472828,0,0.0,-0.0,0.0,-0.05400000140070915,-1.8900000490248203,0.0,0.0,0.017345884125727018,viz.VizPrimitive(6)
12,t,-2.0,-2.0,0,0,6.948340272008964,0,0.0,-0.0,0.0,-0.052000001072883606,-1.8200000375509262,0.0,0.0,0.016388697042288847,viz.VizPrimitive(6)
13,t,-2.0,-2.0,0,0,6.96448929495972,0,0.0,-0.0,0.0,-0.04800000041723251,-1.680000014603138,0.0,0.0,0.016159587929601926,viz.VizPrimitive(6)
14,t,-2.0,-2.0,0,0,6.981181659679694,0,0.0,-0.0,0.0,-0.0430000014603138,-1.505000051110983,0.0,0.0,0.016689648011127822,viz.VizPrimitive(6)
15,t,-2.0,-2.0,0,0,6.997844140602361,0,0.0,-0.0,0.0,-0.039000000804662704,-1.3650000281631947,0.0,0.0,0.016663688348820038,viz.VizPrimitive(6)
16,t,-2.0,-2.0,0,0,7.014474624731951,0,0.0,-0.0,0.0,-0.03500000014901161,-1.2250000052154064,0.0,0.0,0.016631993412283386,viz.VizPrimitive(6)
17,t,-2.0,-2.0,0,0,7.03110933485308,0,0.0,-0.0,0.0,-0.03099999949336052,-1.0849999822676182,0.0,0.0,0.016635011977667702,viz.VizPrimitive(6)
