"","x"
"1",0
"2",0
"3",0.00233333480233947
"4",0
"5",1.08654300371783e-09
"6",0
"7",-0.00116666631462673
"8",0
"9",-0.00233333371579647
"10",-2.71635750929289e-10
"11",-0.00233333371579647
"12",-0.00116666590717311
"13",0
"14",0.00116666658626248
"15",-0.00233333371579647
"16",-1.35817875465134e-10
"17",-0.00116666685789824
"18",-0.00466666607341419
"19",-0.00116666685789824
"20",-0.00233333317252497
"21",-0.00350000247514496
"22",-0.00466666688832144
"23",-0.0081666627083905
"24",-0.0151666696959486
"25",-0.0233333319968854
"26",-0.026833333792941
"27",-0.0443333346241464
"28",-0.0606666666960033
"29",-0.0781666687495696
"30",-0.0956666653704209
"31",-0.113166661719636
"32",-0.130666676675901
"33",-0.168000001188678
"34",-0.169166665330219
"35",-0.193666656715019
"36",-0.197166681871749
"37",-0.202999999319824
"38",-0.212333327663752
"39",-0.191333339840639
"40",-0.184333307590956
"41",-0.169166670219662
"42",-0.149333344229187
"43",-0.131833323161118
"44",-0.109666689667696
"45",-0.0898333147827846
"46",-0.0735000028119733
"47",-0.069999986483405
"48",-0.0571666825562716
"49",-0.0396666536107659
"50",-0.0350000057369471
"51",-0.0361666791141033
"52",-0.0175000050415595
"53",-0.019833343103528
"54",-0.00933331313232581
"55",-0.0104999908556541
"56",-3.04232041041063e-08
"57",0.00583334515492121
"58",0.00116667337715626
"59",0.015166645248731
"60",0.0116666859636704
"61",0.0139999892562628
"62",0.0186666740725438
"63",0.0186666610340277
"64",0.0186666610340277
"65",0.0209999990959962
"66",0.0163333316644033
"67",0.0198333474497
"68",0.0221666594346364
"69",0.015166662633419
"70",0.0186666610340277
"71",0.0140000109871229
"72",0.019833338757356
"73",0.0163333403567473
"74",0.0209999904036522
"75",0.0139999936024348
"76",0.0105000038941701
"77",0.0140000044678648
"78",0.0128333223983645
"79",0.0116666750982404
"80",0.015166661546876
"81",0.0093333413824439
"82",0.0128333211760037
"83",0.0140000051469542
"84",0.0139999952322493
"85",0.019833343103528
"86",0.0221666605211794
"87",0.024500010535121
"88",0.0338333334463338
"89",0.0338333193212748
"90",0.0350000122562051
"91",0.044333346032848
"92",0.0559999836453547
"93",0.0524999966534475
"94",0.0594999972575655
