"","ppid_trialn","heading","pNum","response","response_num","FirstSteeringTime"
"1","1_1_17","1","1","nosteer",1,2.5
"2","1_1_32","1","1","nosteer",1,2.5
"3","1_1_46","1","1","nosteer",1,2.5
"4","1_1_48","1","1","nosteer",1,2.5
"5","1_1_55","1","1","nosteer",1,2.5
"6","1_1_57","1","1","nosteer",1,2.5
"7","1_1_58","1","1","nosteer",1,2.5
"8","1_1_62","1","1","nosteer",1,2.5
"9","1_1_84","1","1","nosteer",1,2.5
"10","1_1_9","1","1","nosteer",1,2.5
"11","1_2_0","1","1","nosteer",1,2.5
"12","1_2_22","1","1","nosteer",1,2.5
"13","1_2_3","1","1","nosteer",1,2.5
"14","1_2_38","1","1","nosteer",1,2.5
"15","1_2_4","1","1","nosteer",1,2.5
"16","1_2_66","1","1","nosteer",1,2.5
"17","1_2_68","1","1","nosteer",1,2.5
"18","1_2_69","1","1","nosteer",1,2.5
"19","1_2_77","1","1","nosteer",1,2.5
"20","1_2_8","1","1","nosteer",1,2.5
"21","1_3_15","1","1","nosteer",1,2.5
"22","1_3_36","1","1","nosteer",1,2.5
"23","1_3_37","1","1","nosteer",1,2.5
"24","1_3_42","1","1","nosteer",1,2.5
"25","1_3_50","1","1","nosteer",1,2.5
"26","1_3_56","1","1","nosteer",1,2.5
"27","1_3_69","1","1","nosteer",1,2.5
"28","1_3_87","1","1","nosteer",1,2.5
"29","10_1_12","1","10","nosteer",1,2.5
"30","10_1_18","1","10","nosteer",1,2.5
"31","10_1_26","1","10","nosteer",1,2.5
"32","10_1_29","1","10","nosteer",1,2.5
"33","10_1_42","1","10","nosteer",1,2.5
"34","10_1_43","1","10","nosteer",1,2.5
"35","10_1_5","1","10","nosteer",1,2.5
"36","10_1_74","1","10","nosteer",1,2.5
"37","10_1_8","1","10","nosteer",1,2.5
"38","10_1_87","1","10","nosteer",1,2.5
"39","10_2_16","1","10","nosteer",1,2.5
"40","10_2_17","1","10","nosteer",1,2.5
"41","10_2_59","1","10","nosteer",1,2.5
"42","10_2_63","1","10","nosteer",1,2.5
"43","10_2_66","1","10","nosteer",1,2.5
