"","ppid_trialn","pNum","heading","FirstSteeringTime","response","response_num"
"1","1_1_0","1","0.5","2.5","nosteer","1"
"2","1_1_1","1","1.5","2.5","nosteer","1"
"3","1_1_10","1","2","2.5","nosteer","1"
"4","1_1_11","1","1","2.5","nosteer","1"
"5","1_1_12","1","2","2.5","nosteer","1"
"6","1_1_13","1","0.5","2.5","nosteer","1"
"7","1_1_14","1","1.5","2.5","nosteer","1"
"8","1_1_15","1","2","2.5","nosteer","1"
"9","1_1_16","1","0.5","2.5","nosteer","1"
"10","1_1_17","1","0","2.5","nosteer","1"
"11","1_1_18","1","0.5","2.5","nosteer","1"
"12","1_1_19","1","1","2.5","nosteer","1"
"13","1_1_2","1","1.5","2.5","nosteer","1"
"14","1_1_20","1","1.5","2.5","nosteer","1"
"15","1_1_21","1","0.5","2.5","nosteer","1"
"16","1_1_22","1","2","2.5","nosteer","1"
"17","1_1_23","1","1","2.5","nosteer","1"
"18","1_1_24","1","2","2.5","nosteer","1"
"19","1_1_25","1","1.5","2.5","nosteer","1"
"20","1_1_26","1","1","2.5","nosteer","1"
"21","1_1_27","1","2","2.5","nosteer","1"
"22","1_1_28","1","1","2.5","nosteer","1"
"23","1_1_29","1","1.5","2.5","nosteer","1"
"24","1_1_3","1","1","2.5","nosteer","1"
"25","1_1_30","1","1.5","2.5","nosteer","1"
"26","1_1_31","1","0.5","2.5","nosteer","1"
"27","1_1_32","1","0","2.5","nosteer","1"
"28","1_1_33","1","1.5","2.5","nosteer","1"
"29","1_1_34","1","2","2.5","nosteer","1"
"30","1_1_35","1","1.5","2.5","nosteer","1"
"31","1_1_36","1","1","2.5","nosteer","1"
"32","1_1_37","1","1.5","2.5","nosteer","1"
"33","1_1_38","1","0.5","2.5","nosteer","1"
"34","1_1_39","1","1","2.5","nosteer","1"
"35","1_1_40","1","0.5","2.5","nosteer","1"
"36","1_1_41","1","0.5","2.5","nosteer","1"
"37","1_1_42","1","0.5","2.5","nosteer","1"
"38","1_1_43","1","2","2.5","nosteer","1"
"39","1_1_44","1","2","2.5","nosteer","1"
"40","1_1_45","1","0.5","2.5","nosteer","1"
"41","1_1_46","1","0","2.5","nosteer","1"
"42","1_1_47","1","0.5","2.5","nosteer","1"
"43","1_1_48","1","0","2.5","nosteer","1"
"44","1_1_49","1","0.5","2.5","nosteer","1"
"45","1_1_5","1","1.5","2.5","nosteer","1"
"46","1_1_50","1","2","2.5","nosteer","1"
"47","1_1_51","1","1.5","2.5","nosteer","1"
"48","1_1_52","1","2","2.5","nosteer","1"
"49","1_1_53","1","2","2.5","nosteer","1"
"50","1_1_54","1","2","2.5","nosteer","1"
"51","1_1_55","1","0","2.5","nosteer","1"
"52","1_1_56","1","1","2.5","nosteer","1"
"53","1_1_57","1","0","2.5","nosteer","1"
"54","1_1_58","1","0","2.5","nosteer","1"
"55","1_1_59","1","1","2.5","nosteer","1"
"56","1_1_6","1","0.5","2.5","nosteer","1"
"57","1_1_60","1","1","2.5","nosteer","1"
"58","1_1_61","1","1","2.5","nosteer","1"
"59","1_1_62","1","0","2.5","nosteer","1"
"60","1_1_63","1","1.5","2.5","nosteer","1"
"61","1_1_64","1","2","2.5","nosteer","1"
"62","1_1_65","1","1.5","2.5","nosteer","1"
"63","1_1_66","1","2","2.5","nosteer","1"
"64","1_1_67","1","2","2.5","nosteer","1"
"65","1_1_68","1","1","2.5","nosteer","1"
"66","1_1_69","1","1","2.5","nosteer","1"
"67","1_1_7","1","2","2.5","nosteer","1"
"68","1_1_70","1","0.5","2.5","nosteer","1"
"69","1_1_71","1","0.5","2.5","nosteer","1"
"70","1_1_72","1","1","2.5","nosteer","1"
"71","1_1_73","1","1.5","2.5","nosteer","1"
"72","1_1_74","1","1.5","2.5","nosteer","1"
"73","1_1_75","1","1.5","2.5","nosteer","1"
"74","1_1_76","1","2","2.5","nosteer","1"
"75","1_1_78","1","0.5","2.5","nosteer","1"
"76","1_1_79","1","1","2.5","nosteer","1"
"77","1_1_8","1","1.5","2.5","nosteer","1"
"78","1_1_81","1","1","2.5","nosteer","1"
"79","1_1_82","1","0.5","2.5","nosteer","1"
"80","1_1_83","1","1","2.5","nosteer","1"
"81","1_1_84","1","0","2.5","nosteer","1"
"82","1_1_85","1","1.5","2.5","nosteer","1"
"83","1_1_86","1","1","2.5","nosteer","1"
"84","1_1_87","1","0.5","2.5","nosteer","1"
"85","1_1_88","1","1.5","2.5","nosteer","1"
"86","1_1_89","1","1","2.5","nosteer","1"
"87","1_1_9","1","0","2.5","nosteer","1"
"88","1_2_0","1","0","2.5","nosteer","1"
"89","1_2_1","1","2","2.5","nosteer","1"
"90","1_2_10","1","2","2.5","nosteer","1"
"91","1_2_11","1","0.5","2.5","nosteer","1"
"92","1_2_12","1","2","2.5","nosteer","1"
"93","1_2_13","1","2","2.5","nosteer","1"
"94","1_2_14","1","1.5","2.5","nosteer","1"
"95","1_2_15","1","1","2.5","nosteer","1"
"96","1_2_16","1","2","2.5","nosteer","1"
"97","1_2_17","1","1","2.5","nosteer","1"
"98","1_2_18","1","0.5","2.5","nosteer","1"
"99","1_2_2","1","1.5","2.5","nosteer","1"
"100","1_2_20","1","0.5","2.5","nosteer","1"
"101","1_2_21","1","0.5","2.5","nosteer","1"
"102","1_2_22","1","0","2.5","nosteer","1"
"103","1_2_23","1","1","2.5","nosteer","1"
"104","1_2_24","1","1","2.5","nosteer","1"
"105","1_2_25","1","1.5","2.5","nosteer","1"
"106","1_2_27","1","1.5","2.5","nosteer","1"
"107","1_2_28","1","1","2.5","nosteer","1"
"108","1_2_29","1","1.5","2.5","nosteer","1"
"109","1_2_3","1","0","2.5","nosteer","1"
"110","1_2_30","1","0.5","2.5","nosteer","1"
"111","1_2_34","1","0.5","2.5","nosteer","1"
"112","1_2_35","1","1","2.5","nosteer","1"
"113","1_2_36","1","1.5","2.5","nosteer","1"
"114","1_2_37","1","0.5","2.5","nosteer","1"
"115","1_2_38","1","0","2.5","nosteer","1"
"116","1_2_39","1","1","2.5","nosteer","1"
"117","1_2_4","1","0","2.5","nosteer","1"
"118","1_2_41","1","2","2.5","nosteer","1"
"119","1_2_42","1","1","2.5","nosteer","1"
"120","1_2_44","1","0.5","2.5","nosteer","1"
"121","1_2_45","1","1.5","2.5","nosteer","1"
"122","1_2_46","1","0.5","2.5","nosteer","1"
"123","1_2_47","1","1","2.5","nosteer","1"
"124","1_2_48","1","0.5","2.5","nosteer","1"
"125","1_2_49","1","1.5","2.5","nosteer","1"
"126","1_2_5","1","0.5","2.5","nosteer","1"
"127","1_2_50","1","1","2.5","nosteer","1"
"128","1_2_51","1","1","2.5","nosteer","1"
"129","1_2_52","1","0.5","2.5","nosteer","1"
"130","1_2_55","1","0.5","2.5","nosteer","1"
"131","1_2_56","1","1.5","2.5","nosteer","1"
"132","1_2_57","1","1","2.5","nosteer","1"
"133","1_2_58","1","1","2.5","nosteer","1"
"134","1_2_59","1","1.5","2.5","nosteer","1"
"135","1_2_6","1","2","2.5","nosteer","1"
"136","1_2_60","1","1","2.5","nosteer","1"
"137","1_2_61","1","1","2.5","nosteer","1"
"138","1_2_62","1","1","2.5","nosteer","1"
"139","1_2_66","1","0","2.5","nosteer","1"
"140","1_2_67","1","1.5","2.5","nosteer","1"
"141","1_2_68","1","0","2.5","nosteer","1"
"142","1_2_69","1","0","2.5","nosteer","1"
"143","1_2_7","1","0.5","2.5","nosteer","1"
"144","1_2_70","1","1","2.5","nosteer","1"
"145","1_2_73","1","1.5","2.5","nosteer","1"
"146","1_2_74","1","0.5","2.5","nosteer","1"
"147","1_2_75","1","1.5","2.5","nosteer","1"
"148","1_2_77","1","0","2.5","nosteer","1"
"149","1_2_78","1","0.5","2.5","nosteer","1"
"150","1_2_79","1","1","2.5","nosteer","1"
"151","1_2_8","1","0","2.5","nosteer","1"
"152","1_2_80","1","2","2.5","nosteer","1"
"153","1_2_81","1","0.5","2.5","nosteer","1"
"154","1_2_82","1","2","2.5","nosteer","1"
"155","1_2_83","1","1","2.5","nosteer","1"
"156","1_2_84","1","1.5","2.5","nosteer","1"
"157","1_2_86","1","1","2.5","nosteer","1"
"158","1_2_87","1","0.5","2.5","nosteer","1"
"159","1_2_9","1","0.5","2.5","nosteer","1"
"160","1_3_11","1","0.5","2.5","nosteer","1"
"161","1_3_12","1","1","2.5","nosteer","1"
"162","1_3_13","1","0.5","2.5","nosteer","1"
"163","1_3_14","1","1.5","2.5","nosteer","1"
"164","1_3_15","1","0","2.5","nosteer","1"
"165","1_3_16","1","2","2.5","nosteer","1"
"166","1_3_18","1","1","2.5","nosteer","1"
"167","1_3_20","1","1.5","2.5","nosteer","1"
"168","1_3_21","1","2","2.5","nosteer","1"
"169","1_3_22","1","2","2.5","nosteer","1"
"170","1_3_23","1","0.5","2.5","nosteer","1"
"171","1_3_26","1","1","2.5","nosteer","1"
"172","1_3_27","1","2","2.5","nosteer","1"
"173","1_3_28","1","2","2.5","nosteer","1"
"174","1_3_29","1","1","2.5","nosteer","1"
"175","1_3_30","1","1.5","2.5","nosteer","1"
"176","1_3_31","1","0.5","2.5","nosteer","1"
"177","1_3_34","1","1","2.5","nosteer","1"
"178","1_3_35","1","0.5","2.5","nosteer","1"
"179","1_3_36","1","0","2.5","nosteer","1"
"180","1_3_37","1","0","2.5","nosteer","1"
"181","1_3_41","1","1.5","2.5","nosteer","1"
"182","1_3_42","1","0","2.5","nosteer","1"
"183","1_3_43","1","0.5","2.5","nosteer","1"
"184","1_3_46","1","0.5","2.5","nosteer","1"
"185","1_3_47","1","1","2.5","nosteer","1"
"186","1_3_48","1","1.5","2.5","nosteer","1"
"187","1_3_5","1","1","2.5","nosteer","1"
"188","1_3_50","1","0","2.5","nosteer","1"
"189","1_3_51","1","1","2.5","nosteer","1"
"190","1_3_53","1","0.5","2.5","nosteer","1"
"191","1_3_55","1","1","2.5","nosteer","1"
"192","1_3_56","1","0","2.5","nosteer","1"
"193","1_3_58","1","0.5","2.5","nosteer","1"
"194","1_3_59","1","1","2.5","nosteer","1"
"195","1_3_60","1","1","2.5","nosteer","1"
"196","1_3_61","1","0.5","2.5","nosteer","1"
"197","1_3_62","1","1.5","2.5","nosteer","1"
"198","1_3_63","1","1.5","2.5","nosteer","1"
"199","1_3_64","1","1.5","2.5","nosteer","1"
"200","1_3_65","1","0.5","2.5","nosteer","1"
"201","1_3_66","1","1","2.5","nosteer","1"
"202","1_3_68","1","1","2.5","nosteer","1"
"203","1_3_69","1","0","2.5","nosteer","1"
"204","1_3_7","1","2","2.5","nosteer","1"
"205","1_3_70","1","1.5","2.5","nosteer","1"
"206","1_3_73","1","0.5","2.5","nosteer","1"
"207","1_3_75","1","0.5","2.5","nosteer","1"
"208","1_3_79","1","0.5","2.5","nosteer","1"
"209","1_3_82","1","0.5","2.5","nosteer","1"
"210","1_3_84","1","0.5","2.5","nosteer","1"
"211","1_3_86","1","2","2.5","nosteer","1"
"212","1_3_87","1","0","2.5","nosteer","1"
"213","1_3_88","1","2","2.5","nosteer","1"
"214","10_1_12","10","0","2.5","nosteer","1"
"215","10_1_13","10","0.5","2.5","nosteer","1"
"216","10_1_14","10","0.5","2.5","nosteer","1"
"217","10_1_15","10","2","2.5","nosteer","1"
"218","10_1_16","10","0.5","2.5","nosteer","1"
"219","10_1_18","10","0","2.5","nosteer","1"
"220","10_1_19","10","1.5","2.5","nosteer","1"
"221","10_1_24","10","0.5","2.5","nosteer","1"
"222","10_1_26","10","0","2.5","nosteer","1"
"223","10_1_27","10","1.5","2.5","nosteer","1"
"224","10_1_28","10","0.5","2.5","nosteer","1"
"225","10_1_29","10","0","2.5","nosteer","1"
"226","10_1_3","10","1","2.5","nosteer","1"
"227","10_1_33","10","1","2.5","nosteer","1"
"228","10_1_34","10","2","2.5","nosteer","1"
"229","10_1_37","10","1.5","2.5","nosteer","1"
"230","10_1_38","10","0.5","2.5","nosteer","1"
"231","10_1_42","10","0","2.5","nosteer","1"
"232","10_1_43","10","0","2.5","nosteer","1"
"233","10_1_5","10","0","2.5","nosteer","1"
"234","10_1_6","10","1","2.5","nosteer","1"
"235","10_1_62","10","0.5","2.5","nosteer","1"
"236","10_1_7","10","0.5","2.5","nosteer","1"
"237","10_1_74","10","0","2.5","nosteer","1"
"238","10_1_8","10","0","2.5","nosteer","1"
"239","10_1_87","10","0","2.5","nosteer","1"
"240","10_1_9","10","2","2.5","nosteer","1"
"241","10_2_10","10","0.5","2.5","nosteer","1"
"242","10_2_15","10","1","2.5","nosteer","1"
"243","10_2_16","10","0","2.5","nosteer","1"
"244","10_2_17","10","0","2.5","nosteer","1"
"245","10_2_18","10","0.5","2.5","nosteer","1"
"246","10_2_19","10","0.5","2.5","nosteer","1"
"247","10_2_20","10","2","2.5","nosteer","1"
"248","10_2_23","10","0.5","2.5","nosteer","1"
"249","10_2_27","10","0.5","2.5","nosteer","1"
"250","10_2_32","10","0.5","2.5","nosteer","1"
"251","10_2_35","10","1","2.5","nosteer","1"
"252","10_2_37","10","0.5","2.5","nosteer","1"
"253","10_2_41","10","0.5","2.5","nosteer","1"
"254","10_2_44","10","1","2.5","nosteer","1"
"255","10_2_54","10","0.5","2.5","nosteer","1"
"256","10_2_57","10","0.5","2.5","nosteer","1"
"257","10_2_59","10","0","2.5","nosteer","1"
"258","10_2_63","10","0","2.5","nosteer","1"
"259","10_2_66","10","0","2.5","nosteer","1"
"260","10_2_68","10","0","2.5","nosteer","1"
"261","10_2_69","10","0.5","2.5","nosteer","1"
"262","10_2_7","10","0","2.5","nosteer","1"
"263","10_2_70","10","0","2.5","nosteer","1"
"264","10_2_71","10","0","2.5","nosteer","1"
"265","10_2_73","10","1","2.5","nosteer","1"
"266","10_2_76","10","0.5","2.5","nosteer","1"
"267","10_2_9","10","0","2.5","nosteer","1"
"268","10_3_1","10","0.5","2.5","nosteer","1"
"269","10_3_10","10","0.5","2.5","nosteer","1"
"270","10_3_13","10","0.5","2.5","nosteer","1"
"271","10_3_14","10","0.5","2.5","nosteer","1"
"272","10_3_17","10","0","2.5","nosteer","1"
"273","10_3_22","10","0.5","2.5","nosteer","1"
"274","10_3_24","10","0.5","2.5","nosteer","1"
"275","10_3_29","10","0","2.5","nosteer","1"
"276","10_3_35","10","0","2.5","nosteer","1"
"277","10_3_41","10","0.5","2.5","nosteer","1"
"278","10_3_42","10","0.5","2.5","nosteer","1"
"279","10_3_50","10","0.5","2.5","nosteer","1"
"280","10_3_56","10","0","2.5","nosteer","1"
"281","10_3_60","10","0","2.5","nosteer","1"
"282","10_3_61","10","0","2.5","nosteer","1"
"283","10_3_62","10","0","2.5","nosteer","1"
"284","10_3_77","10","0.5","2.5","nosteer","1"
"285","10_3_78","10","0.5","2.5","nosteer","1"
"286","10_3_79","10","1","2.5","nosteer","1"
"287","10_3_81","10","0.5","2.5","nosteer","1"
"288","10_3_84","10","0","2.5","nosteer","1"
"289","10_3_87","10","0","2.5","nosteer","1"
"290","10_3_9","10","0","2.5","nosteer","1"
"291","11_1_11","11","0.5","2.5","nosteer","1"
"292","11_1_13","11","1","2.5","nosteer","1"
"293","11_1_15","11","1","2.5","nosteer","1"
"294","11_1_17","11","0.5","2.5","nosteer","1"
"295","11_1_2","11","0.5","2.5","nosteer","1"
"296","11_1_21","11","2","2.5","nosteer","1"
"297","11_1_26","11","0","2.5","nosteer","1"
"298","11_1_27","11","0.5","2.5","nosteer","1"
"299","11_1_31","11","0.5","2.5","nosteer","1"
"300","11_1_32","11","0","2.5","nosteer","1"
"301","11_1_33","11","0.5","2.5","nosteer","1"
"302","11_1_35","11","0","2.5","nosteer","1"
"303","11_1_36","11","1","2.5","nosteer","1"
"304","11_1_38","11","1","2.5","nosteer","1"
"305","11_1_39","11","0.5","2.5","nosteer","1"
"306","11_1_41","11","1.5","2.5","nosteer","1"
"307","11_1_43","11","2","2.5","nosteer","1"
"308","11_1_44","11","2","2.5","nosteer","1"
"309","11_1_45","11","0","2.5","nosteer","1"
"310","11_1_46","11","0.5","2.5","nosteer","1"
"311","11_1_52","11","0.5","2.5","nosteer","1"
"312","11_1_53","11","0.5","2.5","nosteer","1"
"313","11_1_55","11","0.5","2.5","nosteer","1"
"314","11_1_56","11","2","2.5","nosteer","1"
"315","11_1_63","11","0","2.5","nosteer","1"
"316","11_1_65","11","0","2.5","nosteer","1"
"317","11_1_73","11","0","2.5","nosteer","1"
"318","11_1_79","11","0.5","2.5","nosteer","1"
"319","11_1_80","11","1","2.5","nosteer","1"
"320","11_1_81","11","1","2.5","nosteer","1"
"321","11_1_83","11","0","2.5","nosteer","1"
"322","11_1_85","11","0.5","2.5","nosteer","1"
"323","11_1_88","11","0.5","2.5","nosteer","1"
"324","11_1_89","11","0","2.5","nosteer","1"
"325","11_2_1","11","0.5","2.5","nosteer","1"
"326","11_2_10","11","0.5","2.5","nosteer","1"
"327","11_2_11","11","0.5","2.5","nosteer","1"
"328","11_2_12","11","1","2.5","nosteer","1"
"329","11_2_18","11","1.5","2.5","nosteer","1"
"330","11_2_20","11","1","2.5","nosteer","1"
"331","11_2_24","11","2","2.5","nosteer","1"
"332","11_2_25","11","0","2.5","nosteer","1"
"333","11_2_26","11","0.5","2.5","nosteer","1"
"334","11_2_27","11","1","2.5","nosteer","1"
"335","11_2_28","11","0.5","2.5","nosteer","1"
"336","11_2_29","11","1.5","2.5","nosteer","1"
"337","11_2_31","11","0.5","2.5","nosteer","1"
"338","11_2_32","11","1.5","2.5","nosteer","1"
"339","11_2_35","11","0","2.5","nosteer","1"
"340","11_2_37","11","0.5","2.5","nosteer","1"
"341","11_2_39","11","0.5","2.5","nosteer","1"
"342","11_2_4","11","0","2.5","nosteer","1"
"343","11_2_43","11","1","2.5","nosteer","1"
"344","11_2_44","11","1","2.5","nosteer","1"
"345","11_2_47","11","0","2.5","nosteer","1"
"346","11_2_48","11","0","2.5","nosteer","1"
"347","11_2_53","11","0","2.5","nosteer","1"
"348","11_2_55","11","0","2.5","nosteer","1"
"349","11_2_57","11","0","2.5","nosteer","1"
"350","11_2_58","11","0.5","2.5","nosteer","1"
"351","11_2_74","11","0","2.5","nosteer","1"
"352","11_2_80","11","0.5","2.5","nosteer","1"
"353","11_2_81","11","1","2.5","nosteer","1"
"354","11_2_82","11","0","2.5","nosteer","1"
"355","11_2_84","11","0.5","2.5","nosteer","1"
"356","11_2_85","11","0.5","2.5","nosteer","1"
"357","11_2_88","11","0.5","2.5","nosteer","1"
"358","11_3_12","11","0","2.5","nosteer","1"
"359","11_3_16","11","0","2.5","nosteer","1"
"360","11_3_19","11","0","2.5","nosteer","1"
"361","11_3_2","11","0","2.5","nosteer","1"
"362","11_3_20","11","0","2.5","nosteer","1"
"363","11_3_21","11","0.5","2.5","nosteer","1"
"364","11_3_23","11","0.5","2.5","nosteer","1"
"365","11_3_26","11","0.5","2.5","nosteer","1"
"366","11_3_42","11","0.5","2.5","nosteer","1"
"367","11_3_43","11","0.5","2.5","nosteer","1"
"368","11_3_46","11","0.5","2.5","nosteer","1"
"369","11_3_51","11","0.5","2.5","nosteer","1"
"370","11_3_57","11","0","2.5","nosteer","1"
"371","11_3_62","11","0","2.5","nosteer","1"
"372","11_3_73","11","0","2.5","nosteer","1"
"373","11_3_77","11","1","2.5","nosteer","1"
"374","11_3_78","11","0.5","2.5","nosteer","1"
"375","11_3_8","11","0","2.5","nosteer","1"
"376","11_3_80","11","0.5","2.5","nosteer","1"
"377","11_3_81","11","0","2.5","nosteer","1"
"378","11_3_9","11","0.5","2.5","nosteer","1"
"379","12_1_1","12","2","2.5","nosteer","1"
"380","12_1_12","12","0","2.5","nosteer","1"
"381","12_1_14","12","0","2.5","nosteer","1"
"382","12_1_16","12","0","2.5","nosteer","1"
"383","12_1_19","12","0.5","2.5","nosteer","1"
"384","12_1_23","12","0.5","2.5","nosteer","1"
"385","12_1_25","12","0.5","2.5","nosteer","1"
"386","12_1_27","12","0","2.5","nosteer","1"
"387","12_1_3","12","0","2.5","nosteer","1"
"388","12_1_30","12","1","2.5","nosteer","1"
"389","12_1_35","12","0.5","2.5","nosteer","1"
"390","12_1_36","12","1","2.5","nosteer","1"
"391","12_1_38","12","0.5","2.5","nosteer","1"
"392","12_1_41","12","0","2.5","nosteer","1"
"393","12_1_42","12","1.5","2.5","nosteer","1"
"394","12_1_43","12","1","2.5","nosteer","1"
"395","12_1_44","12","0","2.5","nosteer","1"
