"","ppid_trialn","pNum","heading","FirstSteeringTime","TimeToPeak","YawIncrease"
"1","1_1_4",1,2,0.433389999999999,0.100069999999999,0.129067598834499
"2","1_1_77",1,0.5,0.449999999999989,0.100099999999998,0.0811771844289044
"3","1_1_80",1,2,0.383199999999988,0.133500000000026,0.123356702167832
"4","1_2_26",1,1.5,0.499899999999997,0.116700000000009,0.0823194456876457
"5","1_2_31",1,2,0.566800000000001,0.183300000000003,0.164475502447552
"6","1_2_32",1,1.5,0.58329999999998,0.0833000000000084,0.0720396230769231
"7","1_2_33",1,2,0.5,0.200000000000017,0.103776191212121
"8","1_2_40",1,1.5,0.449799999999982,0.0999999999999943,0.12498832946387
"9","1_2_43",1,2,0.566600000000022,0.116799999999984,0.105163107925408
"10","1_2_54",1,0.5,0.466700000000003,0.216499999999996,0.297948801864802
"11","1_2_63",1,2,0.433499999999981,0.0833999999999833,0.13233091037296
"12","1_2_64",1,2,0.466799999999978,0.133199999999988,0.0921910006060606
"13","1_2_71",1,2,0.549900000000036,0.11669999999998,0.116013626689977
"14","1_2_76",1,2,0.483499999999992,0.0833000000000084,0.091293884965035
"15","1_2_85",1,2,0.533399999999972,0.13330000000002,0.114871809440559
"16","1_2_88",1,1.5,0.433400000000006,0.0833999999999833,0.091212008974359
"17","1_2_89",1,1.5,0.533200000000022,0.250099999999975,0.400582813986014
"18","1_3_0",1,1.5,0.450799999999999,0.116635,0.119930068531469
"19","1_3_1",1,2,0.45022,0.0998399999999986,0.141060624941725
"20","1_3_17",1,0,0.48342000000001,0.0998799999999989,0.0743240221445222
"21","1_3_19",1,2,0.46651,0.116720000000001,0.121561791305361
"22","1_3_2",1,1,0.68336,0.216750000000001,0.122459207342657
"23","1_3_24",1,1.5,0.483400000000003,0.116700000000009,0.0989626752913753
"24","1_3_25",1,2,0.5167,0.133399999999995,0.120174825874126
"25","1_3_3",1,1,0.383519999999997,0.11656,0.0845221445221446
"26","1_3_32",1,0.5,0.583200000000005,0.133399999999995,0.0773426374125874
"27","1_3_33",1,1,0.449999999999989,0.116700000000009,0.0817482547785547
"28","1_3_39",1,0.5,0.58329999999998,0.150000000000006,0.133146851165501
"29","1_3_4",1,1.5,0.4999,0.150040000000001,0.146689962587413
"30","1_3_40",1,0.5,0.5334,0.116800000000012,0.0965151775058275
"31","1_3_44",1,1,0.4666,0.133399999999995,0.117074571212121
"32","1_3_49",1,2,0.433399999999978,0.116600000000005,0.161538483566434
"33","1_3_52",1,1.5,0.41670000000002,0.100099999999998,0.0849300923076924
"34","1_3_54",1,1.5,0.416600000000017,0.100099999999998,0.0794638903962704
"35","1_3_57",1,2,0.45010000000002,0.099899999999991,0.07799533006993
"36","1_3_67",1,1,0.666700000000048,0.0999999999999659,0.0811771789044289
"37","1_3_71",1,2,0.433399999999949,0.100000000000023,0.0983916276223776
"38","1_3_72",1,0,0.449900000000014,0.13330000000002,0.16472027972028
"39","1_3_74",1,2,0.466700000000003,0.116700000000037,0.128414939044289
"40","1_3_76",1,0.5,0.666600000000017,0.166699999999992,0.153624757925408
"41","1_3_77",1,1.5,0.516800000000046,0.149899999999946,0.184708658857809
"42","1_3_78",1,2,0.199900000000014,0.66659999999996,0.1423660004662
"43","1_3_8",1,1.5,0.400039999999997,0.166630000000005,0.119114232540793
"44","1_3_80",1,2,0.150100000000009,0.183100000000024,0.269067608391608
"45","1_3_81",1,1.5,0.583399999999983,0.13330000000002,0.0650233337995338
"46","1_3_83",1,1.5,0.483400000000017,0.20010000000002,0.0840326642191142
"47","1_3_85",1,1,0.400099999999952,0.116700000000037,0.0831351985081585
"48","1_3_89",1,1.5,0.666600000000017,0.0999999999999659,0.0943123506993007
"49","10_1_0",10,1,0.434087937888119,0.16678091836633,0.0719580343014855
"50","10_1_1",10,1,0.516692671379801,0.1666879473664,0.0999417169522146
"51","10_1_10",10,1,0.533482992494996,0.0833183161020017,0.112668950032522
"52","10_1_11",10,1.5,0.516702632558399,0.133247969051602,0.124172510498905
"53","10_1_17",10,1,0.48340633669811,0.116577785786987,0.0682866662775447
"54","10_1_2",10,2,0.416649234604101,0.133392255213899,0.160967379605988
"55","10_1_20",10,1.5,0.450096155558001,0.0999112247699969,0.087459201127777
"56","10_1_21",10,1.5,0.433486644927001,0.0998387798349967,0.138694610976394
"57","10_1_22",10,2,0.466712306974998,0.0999978568380016,0.126701579678864
"58","10_1_23",10,0.5,0.566699297073001,0.183483701851003,0.142284361651007
"59","10_1_25",10,0.5,0.516770247831005,1.816583611567,0.113484845203641
"60","10_1_30",10,1,0.666491591406981,0.366676114694002,0.116421904139186
"61","10_1_31",10,1.5,0.516689350986013,0.150005388092012,0.245244789782842
"62","10_1_32",10,1,0.516699999999986,0.166600000000017,0.14791372948718
"63","10_1_35",10,1,0.600000000000023,0.183399999999978,0.178589753729604
"64","10_1_36",10,1.5,0.566599999999994,0.233200000000011,0.229498786247086
"65","10_1_39",10,1.5,0.483299999999986,0.0833000000000084,0.0728554622144522
"66","10_1_4",10,1,0.466702345797202,0.100063057278899,0.135839165021212
"67","10_1_40",10,1.5,0.516599999999983,0.16670000000002,0.156888105524475
"68","10_1_41",10,1.5,0.5,0.083500000000015,0.0925990209090909
"69","10_1_44",10,2,0.449900000000014,0.066599999999994,0.0797902440792541
"70","10_1_45",10,0.5,0.683400000000006,1.2501,0.0965967527972028
"71","10_1_46",10,2,0.666799999999995,0.166699999999992,0.245326367622378
"72","10_1_47",10,0.5,0.499899999999997,0.100200000000001,0.119277400559441
"73","10_1_48",10,1.5,0.449999999999989,0.100200000000001,0.161456836247086
"74","10_1_49",10,0.5,0.833500000000015,0.0664999999999907,0.0664103213752914
"75","10_1_50",10,1,0.466700000000003,0.0834000000000117,0.10687649006993
"76","10_1_51",10,2,0.416699999999992,0.0834000000000117,0.132004633962704
"77","10_1_52",10,1,0.450099999999992,0.0833000000000084,0.105489578344988
"78","10_1_53",10,1.5,0.699999999999989,0.283299999999997,0.284487205407925
"79","10_1_54",10,2,0.45010000000002,0.0831999999999766,0.0934964956643357
"80","10_1_55",10,2,0.500200000000007,0.0999999999999659,0.148974371095571
"81","10_1_56",10,1.5,0.633399999999995,0.183500000000038,0.265396270512821
"82","10_1_57",10,2,0.500099999999975,0.166699999999992,0.233170140909091
"83","10_1_58",10,0.5,0.616599999999949,0.133500000000026,0.105326342191142
"84","10_1_59",10,1.5,0.566700000000026,0.233299999999986,0.112179518065268
"85","10_1_60",10,1.5,0.766599999999983,0.133399999999995,0.170839154778555
"86","10_1_61",10,2,0.550000000000011,0.183400000000006,0.221993013519814
"87","10_1_63",10,1,0.583500000000015,0.116600000000005,0.123030297552448
"88","10_1_64",10,2,0.616800000000012,0.216599999999971,0.260174791142191
"89","10_1_65",10,1,0.766700000000014,0.11669999999998,0.189358991701632
"90","10_1_66",10,1.5,0.616700000000037,0.25,0.270536153962704
"91","10_1_67",10,0.5,0.633100000000013,0.0833999999999833,0.109079274358974
"92","10_1_68",10,0.5,0.800099999999986,0.149900000000002,0.119195811188811
"93","10_1_69",10,2,0.483400000000017,0.116600000000005,0.143997665944056
"94","10_1_70",10,2,0.5,0.199999999999989,0.175489464895105
"95","10_1_71",10,2,0.483399999999961,0.166699999999992,0.22590906037296
"96","10_1_72",10,0.5,0.583399999999983,0.150000000000034,0.0808508343822844
"97","10_1_73",10,2,0.583300000000008,0.20010000000002,0.205349651165501
"98","10_1_75",10,0.5,0.766700000000014,1.63319999999999,0.141386908974359
"99","10_1_76",10,0.5,0.600000000000023,1.5,0.0896620593240094
"100","10_1_77",10,1,0.566599999999994,1.65000000000003,0.186340286480186
"101","10_1_78",10,1,0.533400000000029,1.31659999999999,0.208286687062937
"102","10_1_79",10,2,0.483299999999986,0.116800000000012,0.0880302789044289
"103","10_1_80",10,0.5,0.683400000000006,0.0834000000000401,0.117237793170163
"104","10_1_81",10,1.5,0.600200000000029,0.133399999999995,0.144242420629371
"105","10_1_82",10,1,0.466700000000003,0.133399999999995,0.139510562937063
"106","10_1_83",10,1.5,0.450099999999964,0.233300000000042,0.115606073193473
"107","10_1_84",10,1,0.5,0.166699999999992,0.151177160489511
"108","10_1_85",10,2,0.533399999999972,0.100000000000023,0.185116621095571
"109","10_1_86",10,1.5,0.533399999999972,0.0833999999999833,0.129393955477856
"110","10_1_88",10,1,0.666699999999992,0.166800000000023,0.116177147552448
"111","10_1_89",10,2,0.566600000000051,0.183499999999981,0.149627060489511
"112","10_2_0",10,1,0.484245,0.166692,0.0819114219114219
"113","10_2_1",10,2,0.483359999999999,0.0833200000000005,0.168391595571096
"114","10_2_11",10,1,0.566770000000005,0.0998899999999949,0.131188812004662
"115","10_2_12",10,1.5,0.433329999999998,0.116749999999996,0.131107241025641
"116","10_2_13",10,1.5,0.45004999999999,0.133290000000002,0.0890093258741259
"117","10_2_14",10,0.5,0.583489999999998,0.116630000000001,0.103123554428904
"118","10_2_2",10,2,0.466570000000001,0.100020000000001,0.124580406876457
"119","10_2_21",10,1.5,0.483399999999989,0.083200000000005,0.0941492137062937
"120","10_2_22",10,0.5,0.566700000000012,1.53319999999999,0.0885198068065268
"121","10_2_24",10,1.5,0.533600000000007,0.0832999999999942,0.0961887753846154
"122","10_2_25",10,1.5,0.5167,0.133299999999991,0.161048936013986
"123","10_2_26",10,1.5,0.383600000000001,1.91650000000001,0.293053592074592
"124","10_2_28",10,1.5,0.500100000000003,0.133199999999988,0.107447554195804
"125","10_2_29",10,2,0.416699999999992,0.199999999999989,0.194825152564103
"126","10_2_3",10,1,0.60005,0.100110000000001,0.112913768531469
"127","10_2_30",10,2,0.450099999999992,0.116700000000009,0.213100250815851
"128","10_2_31",10,2,0.383299999999991,0.116700000000009,0.179160819347319
"129","10_2_33",10,0.5,0.54910000000001,0.100099999999998,0.102878773776224
"130","10_2_34",10,2,0.483200000000011,0.150000000000006,0.122948701165501
"131","10_2_36",10,1,0.483499999999992,0.0999000000000194,0.113811255011655
"132","10_2_38",10,1.5,0.416699999999992,1.4332,0.139510513986014
"133","10_2_39",10,1,0.583499999999987,1.06650000000002,0.0869697324009324
"134","10_2_4",10,1.5,0.43327,0.083359999999999,0.108263428857809
"135","10_2_40",10,1,0.766800000000018,0.133499999999998,0.105571151981352
"136","10_2_42",10,1.5,0.450099999999992,0.149900000000002,0.125885789160839
"137","10_2_43",10,1,0.633399999999995,1.61660000000001,0.160069920629371
"138","10_2_45",10,2,0.366700000000009,0.133199999999988,0.129393925874126
"139","10_2_46",10,0.5,1.20009999999999,0.0501000000000147,0.0663286692307693
"140","10_2_47",10,1,0.500200000000007,0.099899999999991,0.108181769184149
"141","10_2_48",10,2,0.483499999999992,0.0833000000000084,0.0832168072261072
"142","10_2_49",10,2,0.500099999999975,0.13330000000002,0.131025658158508
"143","10_2_5",10,2,0.33343,0.0999400000000001,0.0797086415617716
"144","10_2_50",10,0.5,0.650000000000006,0.0666999999999973,0.0837063084149185
"145","10_2_51",10,1.5,0.5,0.133299999999991,0.0776690159673659
"146","10_2_52",10,2,0.5,0.150200000000012,0.151748193589744
"147","10_2_53",10,2,0.833499999999987,0.0999000000000194,0.484044297202797
"148","10_2_55",10,1.5,0.433399999999949,0.166800000000023,0.108181860955711
"149","10_2_56",10,1.5,0.483399999999961,0.150000000000034,0.151829817482518
"150","10_2_58",10,1,0.533299999999997,0.199999999999989,0.0759557513986014
"151","10_2_6",10,1.5,0.416690000000003,0.0999800000000022,0.128578098018648
"152","10_2_60",10,2,0.466499999999996,0.266700000000014,0.151829835314685
"153","10_2_61",10,2,0.466500000000053,0.20029999999997,0.185769223659674
"154","10_2_62",10,1.5,0.449999999999989,0.0834000000000401,0.121480187645688
"155","10_2_64",10,2,0.516700000000014,0.199999999999989,0.188787889160839
"156","10_2_65",10,1.5,0.533500000000004,0.183300000000031,0.252179507109557
"157","10_2_67",10,1,0.449999999999989,0.100000000000023,0.115116585664336
"158","10_2_72",10,1,0.733399999999961,0.13330000000002,0.121806517132867
"159","10_2_74",10,1.5,0.483299999999986,0.100000000000023,0.0877855630536131
"160","10_2_75",10,2,0.416700000000048,0.066599999999994,0.115932347552448
"161","10_2_77",10,1,0.516599999999983,0.166699999999992,0.10141025
"162","10_2_78",10,1,0.483399999999961,0.133500000000026,0.198251752564103
"163","10_2_79",10,1,0.500100000000032,0.0861999999999625,0.118624728461539
"164","10_2_8",10,1.5,0.483400000000003,0.13335,0.0717948796037296
"165","10_2_80",10,1,0.5,0.166600000000017,0.189277405011655
"166","10_2_81",10,1,0.483299999999986,0.100099999999998,0.0903146735431236
"167","10_2_82",10,0.5,0.500100000000032,1.16649999999998,0.0886829524475524
"168","10_2_83",10,2,0.483400000000017,0.149999999999977,0.155501184615385
"169","10_2_84",10,2,0.433400000000006,0.0999999999999659,0.10948715
"170","10_2_85",10,1.5,0.399999999999977,0.266600000000039,0.122622411538462
"171","10_2_86",10,0.5,0.566800000000001,0.0831999999999766,0.103286727878788
"172","10_2_87",10,0.5,0.483299999999986,0.099899999999991,0.108834488624709
"173","10_2_88",10,1.5,0.433300000000031,0.0833000000000084,0.149300743846154
"174","10_2_89",10,2,0.366700000000037,0.0833999999999833,0.136981298298368
"175","10_3_0",10,2,0.667490000000001,0.133419999999999,0.191480207086247
"176","10_3_11",10,0.5,0.383310000000002,0.100139999999996,0.0717948090909091
"177","10_3_12",10,2,0.349959999999996,0.0833300000000037,0.140326374755245
"178","10_3_15",10,1,0.466679999999997,0.166700000000006,0.106386935547786
"179","10_3_16",10,2,0.400009999999995,0.166720000000012,0.150279707925408
"180","10_3_18",10,1,0.500039999999998,0.25,0.107447557226107
"181","10_3_19",10,2,0.466740000000001,0.149900000000002,0.155909151165501
"182","10_3_2",10,2,0.433479999999999,2.06647,0.182832181701635
"183","10_3_20",10,2,0.450000000000003,0.150000000000006,0.120664292540793
"184","10_3_21",10,2,0.433400000000006,0.0832999999999942,0.147424212051282
"185","10_3_23",10,1.5,0.466699999999989,0.0666000000000082,0.0689393743589744
"186","10_3_25",10,2,0.450000000000003,0.116699999999994,0.126864761888112
"187","10_3_26",10,1.5,0.466700000000003,0.149900000000002,0.135186498484849
"188","10_3_27",10,1,0.483400000000017,0.099899999999991,0.0938228586247087
"189","10_3_28",10,1.5,0.5,0.166899999999998,0.145955743356643
"190","10_3_3",10,0.5,0.549869999999999,0.133290000000002,0.080279713986014
"191","10_3_30",10,1.5,0.583300000000008,0.166699999999992,0.122703968531469
