"","ppid_trialn","heading","StartFrame","StartYawRateChange","FirstSteeringTime","pNum","ResponseStartWorldYaw","EarlyResponses","PeakFrame","PeakYawRateChange","PeakSteeringTime","PeakWorldYaw","PeakWorld_x","PeakWorld_z"
"1","1_1_4",2,27,0.0719580421911422,0.433389999999999,1,0.9096459,FALSE,33,0.201025641025641,0.533459999999998,0.8419106,3.416882,163.0295
"2","1_1_77",0.5,28,0.0595571128205128,0.449999999999989,1,339.6278,FALSE,34,0.140734297249417,0.550099999999986,339.5869,-222.1702,2865.331
"3","1_1_80",2,24,0.0645337707459207,0.383199999999988,1,337.7021,FALSE,32,0.187890472913753,0.516700000000014,337.7536,-263.8532,2968.987
"4","1_2_26",1.5,31,0.0717132524475524,0.499899999999997,1,346.1637,FALSE,38,0.154032698135198,0.616600000000005,346.2366,-131.1225,972.498
"5","1_2_31",2,35,0.066818187062937,0.566800000000001,1,340.2677,FALSE,46,0.231293689510489,0.750100000000003,340.0583,-184.6256,1152.25
"6","1_2_32",1.5,36,0.0704895226107226,0.58329999999998,1,337.6463,FALSE,41,0.142529145687646,0.666599999999988,337.6055,-198.3671,1186.241
"7","1_2_33",2,31,0.0500116607692308,0.5,1,334.433,FALSE,43,0.153787851981352,0.700000000000017,334.2626,-214.1963,1220.339
"8","1_2_40",1.5,28,0.069673667972028,0.449799999999982,1,332.9444,FALSE,34,0.194661997435897,0.549799999999976,332.9239,-334.5591,1450.77
"9","1_2_43",2,35,0.0525408435897436,0.566600000000022,1,340.6743,FALSE,42,0.157703951515152,0.683400000000006,340.7414,-377.5688,1555.231
"10","1_2_54",0.5,29,0.0632283892773894,0.466700000000003,1,340.5192,FALSE,42,0.361177191142191,0.683199999999999,341.5716,-497.1533,1947.929
"11","1_2_63",2,27,0.0736713243589743,0.433499999999981,1,340.6254,FALSE,32,0.206002234731935,0.516899999999964,340.6733,-602.8897,2265.114
"12","1_2_64",2,29,0.0500117481118881,0.466799999999978,1,341.6911,FALSE,37,0.142202748717949,0.599999999999966,341.7774,-614.5541,2301.273
"13","1_2_71",2,34,0.0534383555944056,0.549900000000036,1,340.3545,FALSE,41,0.169451982284382,0.666600000000017,340.4215,-699.395,2548.356
"14","1_2_76",2,30,0.0690209196969697,0.483499999999992,1,341.7704,FALSE,35,0.160314804662005,0.566800000000001,341.8147,-756.4213,2725.07
"15","1_2_85",2,33,0.0734265921911422,0.533399999999972,1,342.3913,FALSE,41,0.188298401631702,0.666699999999992,342.2841,-858.3824,3045.681
"16","1_2_88",1.5,27,0.0575173856643357,0.433400000000006,1,338.4842,FALSE,32,0.148729394638695,0.516799999999989,338.4487,-897.3459,3149.241
"17","1_2_89",1.5,33,0.0840326923076924,0.533200000000022,1,330.6284,FALSE,48,0.484615506293706,0.783299999999997,332.1206,-914.0438,3184.928
"18","1_3_0",1.5,28,0.0627389372960373,0.450799999999999,1,0.6907544,FALSE,35,0.182669005827506,0.567435,0.6936991,0.09129339,14.27258
"19","1_3_1",2,28,0.0769347268065268,0.45022,1,2.460238,FALSE,34,0.217995351748252,0.550059999999998,2.527904,1.56684,51.18892
"20","1_3_17",0,30,0.0558857601398601,0.48342000000001,1,3.405137,FALSE,36,0.130209782284382,0.583300000000008,3.330548,45.72982,646.7811
"21","1_3_19",2,29,0.064941709044289,0.46651,1,5.891211,FALSE,36,0.18650350034965,0.58323,5.906433,51.79202,721.1921
"22","1_3_2",1,42,0.0524592074592075,0.68336,1,4.938251,FALSE,55,0.174918414801865,0.900110000000002,5.145331,4.555989,91.20757
"23","1_3_24",1.5,30,0.0620046832167832,0.483400000000003,1,2.008998,FALSE,37,0.160967358508159,0.600100000000012,1.913982,60.08688,907.3723
"24","1_3_25",2,32,0.0642074748251748,0.5167,1,0.597354,FALSE,40,0.184382300699301,0.650099999999995,0.4986359,60.5823,945.1013
"25","1_3_3",1,24,0.0679603729603729,0.383519999999997,1,6.251759,FALSE,31,0.152482517482518,0.500079999999997,6.176539,7.717385,125.1899
"26","1_3_32",0.5,36,0.0584965166666667,0.583200000000005,1,3.883832,FALSE,44,0.135839154079254,0.7166,3.965545,72.24669,1206.25
"27","1_3_33",1,28,0.0515617785547786,0.449999999999989,1,5.230802,FALSE,35,0.133310033333333,0.566699999999997,5.201602,75.32833,1242.249
"28","1_3_39",0.5,36,0.069592084965035,0.58329999999998,1,6.403717,FALSE,45,0.202738936130536,0.733299999999986,6.529777,102.3778,1465.795
"29","1_3_4",1.5,31,0.0505827421911422,0.4999,1,6.553402,FALSE,40,0.197272704778555,0.649940000000001,6.412774,11.71601,163.512
"30","1_3_40",0.5,33,0.0540908982517482,0.5334,1,7.272201,FALSE,40,0.150606075757576,0.650200000000012,7.332974,107.0567,1502.16
"31","1_3_44",1,29,0.0537645827505827,0.4666,1,8.909905,FALSE,37,0.170839153962704,0.599999999999994,8.887727,128.4141,1649.276
"32","1_3_49",2,27,0.0657575583916084,0.433399999999978,1,8.65654,FALSE,34,0.227296041958042,0.549999999999983,8.738731,159.507,1832.905
"33","1_3_52",1.5,26,0.0528671326340326,0.41670000000002,1,13.93883,FALSE,32,0.137797224941725,0.516800000000018,13.89443,183.0757,1941.819
"34","1_3_54",1.5,26,0.0571095347785548,0.416600000000017,1,12.57652,FALSE,32,0.136573425174825,0.516700000000014,12.52048,199.6555,2014.618
"35","1_3_57",2,28,0.0547435955710956,0.45010000000002,1,10.57183,FALSE,34,0.132738925641026,0.550000000000011,10.49956,221.0411,2124.819
"36","1_3_67",1,41,0.0614335691142191,0.666700000000048,1,3.45962,FALSE,47,0.142610748018648,0.766700000000014,3.402975,254.5377,2497.839
"37","1_3_71",2,27,0.0509906765734266,0.433399999999949,1,3.666064,FALSE,33,0.149382304195804,0.533399999999972,3.713864,259.6714,2644.919
"38","1_3_72",0,28,0.0513170163170163,0.449900000000014,1,5.632205,FALSE,36,0.216037296037296,0.583200000000033,5.598372,263.4918,2682.454
"39","1_3_74",2,29,0.0657575688811189,0.466700000000003,1,6.107751,FALSE,36,0.194172507925408,0.58340000000004,6.187733,271.7545,2756.654
"40","1_3_76",0.5,41,0.0605360868298368,0.666600000000017,1,8.670657,FALSE,51,0.214160844755245,0.833300000000008,8.780325,282.6375,2832.404
"41","1_3_77",1.5,32,0.0572727033799534,0.516800000000046,1,9.757891,FALSE,41,0.241981362237762,0.666699999999992,9.887854,288.6674,2867.758
"42","1_3_78",2,13,0.0617598736596737,0.199900000000014,1,11.38514,FALSE,53,0.204125874125874,0.866499999999974,10.48541,296.3409,2905.925
"43","1_3_8",1.5,25,0.0684498511421911,0.400039999999997,1,0.6307412,FALSE,35,0.187564083682984,0.566670000000002,0.7904883,26.88894,311.3157
"44","1_3_80",2,10,0.0671445128205128,0.150100000000009,1,16.33317,FALSE,21,0.336212121212121,0.333200000000033,16.06867,309.6883,2975.011
"45","1_3_81",1.5,36,0.0690209755244755,0.583399999999983,1,15.76572,FALSE,44,0.134044309324009,0.716700000000003,15.73662,319.8578,3014.105
"46","1_3_83",1.5,30,0.0501748251748252,0.483400000000017,1,17.36899,FALSE,42,0.134207489393939,0.683500000000038,17.56503,342.3473,3084.875
"47","1_3_85",1,25,0.0639626812121212,0.400099999999952,1,18.50159,FALSE,32,0.14709787972028,0.516799999999989,18.58096,364.5237,3154.62
"48","1_3_89",1.5,41,0.0602913855477855,0.666600000000017,1,26.56968,FALSE,47,0.154603736247086,0.766599999999983,26.65837,424.1807,3293.432
"49","10_1_0",1,27,0.173286714337089,0.434087937888119,10,0,FALSE,37,0.245244748638575,0.600868856254449,0.193995907902718,0.00117239367682487,14.6735763549805
"50","10_1_1",1,32,0.0534382394768975,0.516692671379801,10,359.68313112855,FALSE,42,0.153379956429112,0.683380618746201,359.575228363276,-0.439362227916718,52.4119873046875
"51","10_1_10",1,33,0.0613519968790607,0.533482992494996,10,2.12198996543884,FALSE,38,0.174020946911582,0.616801308596997,2.16568994522095,-3.2391152381897,387.424133300781
"52","10_1_11",1.5,32,0.0638811106604713,0.516702632558399,10,2.73024868965149,FALSE,40,0.188053621159376,0.649950601610001,2.65558791160583,-1.23312067985535,424.8330078125
"53","10_1_17",1,30,0.0693473443909958,0.48340633669811,10,4.78580474853516,FALSE,37,0.137634010668541,0.599984122485097,4.71527910232544,9.48959732055664,647.970642089844
"54","10_1_2",2,26,0.0569463806283293,0.416649234604101,10,359.057767450809,FALSE,34,0.217913760234317,0.550041489818,358.9614777565,-1.32008635997772,88.6655044555664
"55","10_1_20",1.5,28,0.0554778530221163,0.450096155558001,10,1.42846143245697,FALSE,34,0.142937054149893,0.550007380327997,1.47917497158051,15.0873155593872,759.408020019531
"56","10_1_21",1.5,27,0.0612703873178898,0.433486644927001,10,2.15617179870605,FALSE,33,0.199964998294284,0.533325424761998,2.21449947357178,16.8566722869873,796.561645507812
"57","10_1_22",2,29,0.078076949095601,0.466712306974998,10,1.91798937320709,FALSE,35,0.204778528774465,0.566710163812999,1.84857594966888,18.810920715332,834.103088378906
"58","10_1_23",0.5,35,0.0571911653942301,0.566699297073001,10,0.03873560577631,FALSE,46,0.199475527045237,0.750182998924004,359.892187722027,18.6614761352539,872.899230957031
"59","10_1_25",0.5,32,0.0606177351274691,0.516770247831005,10,0.866569876670837,FALSE,141,0.17410258033111,2.333353859398,0.538139581680298,18.8085174560547,960.084899902344
"60","10_1_30",1,41,0.0669813722302586,0.666491591406981,10,0.515268206596375,FALSE,63,0.183403276369445,1.03316770610098,359.967071052641,22.0167655944824,1136.30358886719
"61","10_1_31",1.5,32,0.050582717539686,0.516689350986013,10,359.006855845451,FALSE,41,0.295827507322528,0.666694739078025,358.866371035576,21.4402713775635,1170.69555664062
"62","10_1_32",1,32,0.054662018065268,0.516699999999986,10,358.1301,FALSE,42,0.202575747552448,0.683300000000003,357.9878,19.85806,1208.125
"63","10_1_35",1,37,0.0553146751748252,0.600000000000023,10,357.8293,FALSE,48,0.233904428904429,0.7834,357.6443,14.27107,1320.503
"64","10_1_36",1.5,35,0.0629837312354312,0.566599999999994,10,355.1506,FALSE,49,0.292482517482517,0.799800000000005,354.7933,11.38171,1357.854
"65","10_1_39",1.5,30,0.0588228618881119,0.483299999999986,10,352.6542,FALSE,35,0.131678324102564,0.566599999999994,352.6893,-0.3668981,1467.336
"66","10_1_4",1,29,0.0501748101486192,0.466702345797202,10,357.471868276596,FALSE,35,0.186013975169831,0.566765403076101,357.521503925323,-4.74271154403687,163.373733520508
"67","10_1_40",1.5,32,0.0571095716317016,0.516599999999983,10,353.6168,FALSE,42,0.213997677156177,0.683300000000003,353.4791,-4.481316,1505.243
"68","10_1_41",1.5,31,0.0706526924242424,0.5,10,351.8664,FALSE,36,0.163251713333333,0.583500000000015,351.9096,-9.685837,1541.401
"69","10_1_44",2,28,0.058822806993007,0.449900000000014,10,352.4637,FALSE,32,0.138613051072261,0.516500000000008,352.4876,-23.89971,1651.812
"70","10_1_45",0.5,42,0.0775058113053613,0.683400000000006,10,352.844,FALSE,117,0.174102564102564,1.93350000000001,353.539,-29.29228,1700.172
"71","10_1_46",2,41,0.064941706037296,0.666799999999995,10,352.1878,FALSE,51,0.310268073659674,0.833499999999987,351.9899,-32.96597,1728.466
"72","10_1_47",0.5,31,0.0549067592074592,0.499899999999997,10,350.9379,FALSE,37,0.1741841597669,0.600099999999998,350.9906,-38.90455,1763.291
"73","10_1_48",1.5,28,0.0550699532634032,0.449999999999989,10,352.0701,FALSE,34,0.21652678951049,0.55019999999999,352.1292,-44.04978,1799.726
"74","10_1_49",0.5,51,0.0656759487645688,0.833500000000015,10,353.516,FALSE,55,0.13208627013986,0.900000000000006,353.5375,-48.86937,1839.563
"75","10_1_50",1,29,0.0532750426573426,0.466700000000003,10,352.9414,FALSE,34,0.160151532727273,0.550100000000015,352.9788,-52.61033,1873.756
"76","10_1_51",2,26,0.0507459423076923,0.416699999999992,10,353.0911,FALSE,31,0.182750576270396,0.500100000000003,353.1285,-56.71689,1910.458
"77","10_1_52",1,28,0.0578437865967366,0.450099999999992,10,354.7024,FALSE,33,0.163333364941725,0.5334,354.7391,-59.9553,1947.91
"78","10_1_53",1.5,43,0.0512354053146853,0.699999999999989,10,354.8035,FALSE,60,0.335722610722611,0.983299999999986,354.4995,-63.01755,1988.722
"79","10_1_54",2,28,0.0742424414918415,0.45010000000002,10,354.4164,FALSE,33,0.167738937156177,0.533299999999997,354.4618,-66.85032,2022.23
"80","10_1_55",2,31,0.0628204848484848,0.500200000000007,10,354.7047,FALSE,37,0.211794855944056,0.600199999999973,354.7759,-69.59236,2059.855
"81","10_1_56",1.5,39,0.0500116632867133,0.633399999999995,10,355.3306,FALSE,50,0.315407933799534,0.816900000000032,355.0974,-72.36801,2098.815
"82","10_1_57",2,31,0.0658391726107226,0.500099999999975,10,353.4758,FALSE,41,0.299009313519814,0.666799999999967,353.3014,-76.88374,2134.524
"83","10_1_58",0.5,38,0.051561765034965,0.616599999999949,10,350.1784,FALSE,46,0.156888107226107,0.750099999999975,350.0985,-83.19918,2171.991
"84","10_1_59",1.5,35,0.052867101981352,0.566700000000026,10,347.2782,FALSE,49,0.16504662004662,0.800000000000011,347.067,-90.90051,2208.925
"85","10_1_60",1.5,47,0.0834615282051282,0.766599999999983,10,344.3231,FALSE,55,0.254300682983683,0.899999999999977,344.3558,-101.0642,2245.674
"86","10_1_61",2,34,0.061923062004662,0.550000000000011,10,344.9706,FALSE,45,0.283916075524476,0.733400000000017,344.7464,-110.0247,2280.536
"87","10_1_63",1,36,0.0517249404428904,0.583500000000015,10,341.7027,FALSE,43,0.174755237995338,0.70010000000002,341.7702,-133.2975,2351.188
"88","10_1_64",2,38,0.0595571435897436,0.616800000000012,10,342.3537,FALSE,51,0.319731934731935,0.833399999999983,342.0234,-144.6232,2387.737
"89","10_1_65",1,47,0.050419598041958,0.766700000000014,10,338.6488,FALSE,54,0.23977858974359,0.883399999999995,338.7153,-158.1846,2422.799
"90","10_1_66",1.5,38,0.0571095336829837,0.616700000000037,10,338.7936,FALSE,53,0.327645687645688,0.866700000000037,338.4273,-171.3287,2457.596
